Card Name,Post-Acquisition Winrate,Post-Acquisition Record,Total Post-Acquisition Matches,Pools Opened In
"The Balrog, Durin's Bane",50.0,20-20,40,3
Discerning Peddler,50.0,90-90,180,14
Scalestorm Summoner,50.0,11-11,22,2
Sandstorm Verge,50.0,82-82,164,10
Fugitive Codebreaker,50.0,24-24,48,4
Failed Fording,50.0,81-81,162,11
A Killer Among Us,50.0,22-22,44,3
Epic Downfall,50.0,28-28,56,6
"April, Reporter of the Weird",50.0,15-15,30,2
Hide in Plain Sight,50.0,13-13,26,2
"Thor, God of Thunder",50.0,182-182,364,20
Aang's Iceberg,50.0,12-12,24,4
Badgermole Cub,50.0,18-18,36,2
Krang & Shredder,50.0,21-21,42,6
King of the Oathbreakers,50.0,18-18,36,2
Kraven the Hunter,50.0,14-14,28,4
March from the Black Gate,50.0,16-16,32,3
Mindslaver,50.0,9-9,18,2
Thunder Lasso,50.0,72-72,144,9
Rancor,50.0,22-22,44,2
"Rakdos, the Muscle",50.0,19-19,38,2
Underground Mortuary,50.0,12-12,24,2
Doc Ock's Tentacles,50.0,8-8,16,2
Akul the Unrepentant,50.0,18-18,36,4
Chrome Dome,50.0,17-17,34,3
Tom Bombadil,50.0,12-12,24,2
Technodrome,50.0,8-8,16,1
Cosmic Spider-Man,50.0,8-8,16,2
Desert,50.0,14-14,28,2
First-Time Flyer,49.82,136-137,273,23
The Vision,49.82,137-138,275,20
Skyward Spider,49.79,117-118,235,20
Djinn of Fool's Fall,49.75,100-101,201,17
"Captain America, Super-Soldier",49.74,96-97,193,13
Flexible Waterbender,49.72,88-89,177,18
Outlaws' Fury,49.68,77-78,155,12
Ragamuffin Raptor,49.66,73-74,147,15
Giant Beaver,49.64,137-139,276,20
Explosive Derailment,49.62,66-67,133,13
"Sokka, Lateral Strategist",49.61,63-64,127,10
Abraded Bluffs,49.61,63-64,127,8
Enter the Avatar State,49.59,61-62,123,10
Make Your Own Luck,49.59,60-61,121,9
Concealed Weapon,49.56,56-57,113,7
"Mjölnir, Hammer of Thor",49.54,107-109,216,14
Raven of Fell Omens,49.48,95-97,192,15
"Bebop, Warthog Warrior",49.47,93-95,188,19
"Patriot, Shield Wielder",49.46,412-421,833,51
Rubblebelt Braggart,49.46,46-47,93,12
Curious Cadaver,49.45,45-46,91,9
The Spirit Oasis,49.44,44-45,89,6
Eriette's Lullaby,49.44,88-90,178,15
Forlorn Flats,49.43,43-44,87,8
Dragonfly Swarm,49.37,78-80,158,13
Nervous Gardener,49.35,76-78,154,13
Clandestine Meddler,49.35,38-39,77,5
Case File Auditor,49.32,36-37,73,5
At Knifepoint,49.32,36-37,73,4
Henchbots,49.3,35-36,71,7
"Pizza Face, Gastromancer",49.3,35-36,71,9
Getaway Glamer,49.3,70-72,142,9
Wisecrack,49.25,33-34,67,6
Electrodominance,49.25,33-34,67,6
"Spider-Man, To the Rescue",49.24,454-468,922,59
Nasty End,49.23,96-99,195,14
Vengeful Townsfolk,49.22,95-98,193,17
Lessons from Life,49.21,31-32,63,6
Nurturing Pixie,49.18,30-31,61,5
Flying Octobot,49.14,57-59,116,11
Not on My Watch,49.12,56-58,114,9
Case of the Filched Falcon,49.12,28-29,57,5
Rabaroo Troop,49.09,108-112,220,19
Earth Kingdom General,49.09,54-56,110,8
Rising of the Day,49.02,50-52,102,10
"Zuko, Conflicted",49.02,25-26,51,6
Friendly Rivalry,49.02,25-26,51,5
Vibrant Cityscape,48.99,73-76,149,12
Slime Against Humanity,48.97,95-99,194,16
"Faramir, Field Commander",48.97,71-74,145,10
Earth Rumble,48.96,47-49,96,7
"Shang-Chi, Master of Kung Fu",48.95,93-97,190,11
Lush Oasis,48.94,46-48,94,11
"Mysterio, Master of Illusion",48.94,23-24,47,3
"Night Nurse, Healer of Heroes",48.92,429-448,877,55
