Card Name,Bayes Smoothed Winrate %,Raw Post-Acquisition Winrate %,Combined Post-Acquisition Record,Total Post Matches Tracked,Pools Opened In
Rumble Arena (Copy 3),48.54,0.0,0-3,3,1
"Flopsie, Bumi's Buddy (Copy 2)",48.54,0.0,0-3,3,1
Leyline Binding (Copy 1),48.54,0.0,0-3,3,1
Mutant Town Musicians (Copy 4),48.54,0.0,0-3,3,1
Bot Bashing Time (Copy 2),48.54,0.0,0-3,3,1
Novel Nunchaku (Copy 2),48.54,0.0,0-3,3,1
Eerie Gravestone (Copy 2),48.54,0.0,0-3,3,1
Brave Brawler (Copy 5),48.54,0.0,0-3,3,1
Vision of Love (Copy 4),48.54,0.0,0-3,3,1
Force of Negation (Copy 1),48.54,0.0,0-3,3,1
Swampsnare Trap (Copy 2),48.54,0.0,0-3,3,1
"Niv-Mizzet, Guildpact (Copy 1)",48.53,44.44,16-20,36,3
Knife (Copy 1),48.53,44.44,16-20,36,4
Giant Growth (Copy 3),48.52,46.38,32-37,69,8
"Vial Smasher, Gleeful Grenadier (Copy 1)",48.52,46.38,32-37,69,6
Terror of the Peaks (Copy 1),48.52,46.38,32-37,69,5
Fake Your Own Death (Copy 1),48.51,47.41,64-71,135,9
Stop Cold (Copy 1),48.51,47.78,97-106,203,16
Decoy Ploy (Copy 2),48.51,48.06,161-174,335,25
Chalk Outline (Copy 1),48.51,44.12,15-19,34,2
Iroh's Demonstration (Copy 1),48.5,47.37,63-70,133,9
Mirkwood Spider (Copy 1),48.5,47.59,79-87,166,12
"Satoru, the Infiltrator (Copy 1)",48.5,46.27,31-36,67,5
Fire Sages (Copy 1),48.48,47.33,62-69,131,10
"Black Cat, Cunning Thief (Copy 1)",48.48,43.75,14-18,32,3
Aang's Journey (Copy 1),48.48,47.81,109-119,228,21
Dawn of a New Age (LTR) 731z (Copy 1),48.48,43.75,14-18,32,2
Slimy Dualleech (Copy 1),48.48,43.75,14-18,32,2
Rambling Possum (Copy 1),48.47,46.88,45-51,96,9
Lush Portico (Copy 1),48.47,46.03,29-34,63,4
Vengeful Tracker (Copy 1),48.47,46.03,29-34,63,4
Fury of the Horde (Copy 1),48.46,43.33,13-17,30,2
Fire Nation Cadets (Copy 1),48.45,47.75,106-116,222,19
Vision Quest (Copy 1),48.44,47.89,136-148,284,19
Glider Staff (Copy 1),48.44,46.74,43-49,92,9
Nimble Brigand (Copy 1),48.43,45.76,27-32,59,4
"Scarlet Spider, Kaine (Copy 1)",48.42,47.11,57-64,121,14
Electro's Bolt (Copy 2),48.41,42.31,11-15,26,3
Make Your Move (Copy 1),48.41,47.77,118-129,247,28
Villainous Wrath (Copy 1),48.41,42.31,11-15,26,2
Great Hall of the Citadel (Copy 1),48.4,47.51,86-95,181,13
Leonardo's Technique (Copy 1),48.39,41.67,10-14,24,2
World War Hulk (Copy 1),48.38,48.0,204-221,425,26
Vault Plunderer (Copy 1),48.37,46.43,39-45,84,10
"Oroku Saki, Shredder Rising (Copy 1)",48.36,46.9,53-60,113,12
A.I.M. Scientists (Copy 3),48.36,46.9,53-60,113,10
Octopus Form (Copy 1),48.36,47.66,112-123,235,20
Too Evil to Stay Dead (Copy 2),48.36,40.91,9-13,22,3
"Azula, Cunning Usurper (Copy 1)",48.36,40.91,9-13,22,3
They Went This Way (Copy 2),48.36,40.91,9-13,22,2
"Cloak and Dagger, Entwined (Copy 2)",48.36,40.91,9-13,22,2
Earth Kingdom Jailer (Copy 1),48.34,45.1,23-28,51,4
Leering Onlooker (Copy 1),48.34,45.1,23-28,51,4
Bridled Bighorn (Copy 1),48.33,47.34,80-89,169,14
Ice Cream Kitty (Copy 1),48.33,47.34,80-89,169,18
"Bilbo, Retired Burglar (Copy 1)",48.33,47.14,66-74,140,13
Lórien Revealed (Copy 1),48.33,47.5,95-105,200,17
Stop Cold (Copy 2),48.33,40.0,8-12,20,2
Lothlórien Lookout (Copy 1),48.33,46.25,37-43,80,8
Canyon Crawler (Copy 2),48.33,40.0,8-12,20,3
Baron Helmut Zemo (Copy 1),48.33,47.6,109-120,229,18
The Clone Saga (Copy 1),48.33,40.0,8-12,20,2
"Venom, Evil Unleashed (Copy 2)",48.33,40.0,8-12,20,2
"Nick Fury, Agent of S.H.I.E.L.D. (Copy 1)",48.32,47.91,195-212,407,27
"Glóin, Dwarf Emissary (Copy 1)",48.32,44.9,22-27,49,3
Earth King's Lieutenant (Copy 1),48.32,44.9,22-27,49,5
Fight to the Death (Copy 1),48.31,38.89,7-11,18,1
Inner Demons Gangsters (Copy 2),48.31,38.89,7-11,18,2
The Chase Is On (Copy 2),48.31,38.89,7-11,18,1
"Hawkeye, Master Marksman (Copy 2)",48.31,38.89,7-11,18,1
"Spider-Girl, Legacy Hero (Copy 2)",48.31,38.89,7-11,18,1
Lonely Arroyo (Copy 1),48.3,44.68,21-26,47,6
"Tolsimir, Midnight's Light (Copy 1)",48.3,44.68,21-26,47,4
Training Compound (Copy 1),48.29,47.92,219-238,457,30
Murder (Copy 1),48.29,47.24,77-86,163,12
Arwen Undómiel (Copy 1),48.28,44.44,20-25,45,4
Super-Adaptoid (Copy 2),48.28,37.5,6-10,16,2
Pillar Launch (Copy 1),48.28,46.97,62-70,132,13
Atlantis Attacks (Copy 3),48.28,45.95,34-40,74,6
"Red Guardian, Super-Soldier (Copy 2)",48.28,45.95,34-40,74,6
Candlestick (Copy 1),48.28,44.44,20-25,45,5
Vengeful Villagers (Copy 1),48.28,45.95,34-40,74,6
Oasis Gardener (Copy 2),48.28,37.5,6-10,16,3
Orcish Medicine (Copy 2),48.28,37.5,6-10,16,3
Oscorp Research Team (Copy 1),48.26,47.47,103-114,217,18
Inner Demons Gangsters (Copy 1),48.26,47.34,89-99,188,16
Stomped by the Foot (Copy 1),48.26,47.34,89-99,188,22
Gwen Stacy // Ghost-Spider (Copy 1),48.25,44.19,19-24,43,4
Fire Lord Azula (Copy 1),48.25,35.71,5-9,14,2
Protector of Gondor (Copy 2),48.25,35.71,5-9,14,2
Stingerback Terror (Copy 1),48.25,44.19,19-24,43,5
S.H.I.E.L.D. Deployment Drone (Copy 4),48.25,35.71,5-9,14,2
Mob Lookout (Copy 2),48.25,35.71,5-9,14,5
"Donatello, Gadget Master (Copy 1)",48.25,35.71,5-9,14,1
Punishing Punch (Copy 3),48.25,35.71,5-9,14,1
Hell's Kitchen (Copy 1),48.24,47.96,306-332,638,45
Undercover Skrull (Copy 2),48.24,47.84,210-229,439,33
"Denethor, Ruling Steward (Copy 1)",48.24,46.46,46-53,99,10
Delighted Halfling (Copy 1),48.24,45.71,32-38,70,5
Redrock Sentinel (Copy 1),48.23,43.9,18-23,41,3
Mechanical Mobster (Copy 2),48.21,33.33,4-8,12,3
Fire Nation Raider (Copy 2),48.21,33.33,4-8,12,3
"The Sentry, Golden Guardian (Copy 2)",48.21,33.33,4-8,12,1
Helicarrier Strike (Copy 1),48.2,48.08,753-813,1566,95
"Hakoda, Selfless Commander (Copy 1)",48.2,43.59,17-22,39,4
Inspiring Vantage (Copy 1),48.19,45.45,30-36,66,5
Take Up the Shield (Copy 3),48.19,46.24,43-50,93,10
"Colleen Wing, Street Samurai (Copy 1)",48.18,47.96,412-447,859,51
The Last Ronin's Technique (Copy 2),48.18,30.0,3-7,10,1
Hard-Won Jitte (Copy 1),48.18,46.67,56-64,120,12
Rewrite History (Copy 2),48.18,43.24,16-21,37,3
Corrupt Court Official (Copy 2),48.18,30.0,3-7,10,1
"Spider-Man, Brooklyn Visionary (Copy 2)",48.18,30.0,3-7,10,2
Mirrormere Guardian (Copy 2),48.18,30.0,3-7,10,1
"Shadowfax, Lord of Horses (Copy 2)",48.18,30.0,3-7,10,1
Neighborhood Guardian (Copy 2),48.18,30.0,3-7,10,1
"Sauron, the Necromancer (Copy 1)",48.18,30.0,3-7,10,2
Stromkirk Captain (PLST) DKA-143 (Copy 1),48.18,30.0,3-7,10,1
Benthic Criminologists (Copy 2),48.18,30.0,3-7,10,1
Ill-Timed Explosion (Copy 1),48.18,30.0,3-7,10,1
Ride Down (Copy 1),48.17,45.31,29-35,64,6
Essence of Antiquity (Copy 1),48.17,46.15,42-49,91,7
"Raphael, Tough Turtle (Copy 1)",48.16,47.09,81-91,172,20
Samwise the Stouthearted (Copy 1),48.15,42.86,15-20,35,5
Peerless Ropemaster (Copy 2),48.15,25.0,2-6,8,1
Rakdos Joins Up (Copy 1),48.15,25.0,2-6,8,1
Surveillance Room (Copy 5),48.15,25.0,2-6,8,1
Wild Pack Squad (Copy 2),48.15,25.0,2-6,8,2
Gallant Citizen (Copy 2),48.15,25.0,2-6,8,1
Spider-Bot (Copy 2),48.15,42.86,15-20,35,3
Machinesmith Automaton (Copy 4),48.15,25.0,2-6,8,1
Pumpkin Bombardment (Copy 2),48.15,25.0,2-6,8,2
Shredder's Revenge (Copy 2),48.15,25.0,2-6,8,2
Web Up (Copy 2),48.14,47.84,299-326,625,50
"Momo, Friendly Flier (Copy 1)",48.13,45.98,40-47,87,6
"Momo, Playful Pet (Copy 1)",48.13,45.98,40-47,87,10
Tunnel Rats (Copy 1),48.12,46.76,65-74,139,15
Slip On the Ring (Copy 1),48.12,46.99,78-88,166,13
Super Speed (Copy 1),48.11,47.98,737-799,1536,95
"Bullseye, Death Dealer (Copy 1)",48.11,47.88,395-430,825,51
Airtight Alibi (Copy 2),48.11,16.67,1-5,6,2
Double Down (Copy 1),48.11,16.67,1-5,6,1
Bitter Work (Copy 2),48.11,16.67,1-5,6,1
Essence Capture (Copy 2),48.11,16.67,1-5,6,1
Thor Odinson (Copy 3),48.11,16.67,1-5,6,1
Plague of Vermin (Copy 1),48.11,16.67,1-5,6,1
Pet Avengers (Copy 1),48.1,47.97,709-769,1478,88
Brilliance Unleashed (Copy 1),48.1,44.83,26-32,58,5
Fisk Tower (Copy 1),48.09,47.87,428-466,894,57
Boomerang Basics (Copy 1),48.09,45.78,38-45,83,8
Intimidation Campaign (Copy 1),48.09,45.78,38-45,83,8
Extract a Confession (Copy 1),48.08,44.64,25-31,56,6
Museum Nightwatch (Copy 2),48.08,0.0,0-4,4,1
Extract a Confession (Copy 2),48.08,0.0,0-4,4,1
Tunnel Tipster (Copy 2),48.08,0.0,0-4,4,1
Octopus Form (Copy 2),48.08,0.0,0-4,4,2
Island (Copy 5),48.08,0.0,0-4,4,1
Rosie Cotton of South Lane (Copy 2),48.08,0.0,0-4,4,1
"Sally Pride, Lioness Leader (Copy 1)",48.08,0.0,0-4,4,1
"Michelangelo, Mutant BFF (Copy 2)",48.08,0.0,0-4,4,1
The Coming of Galactus (Copy 2),48.08,0.0,0-4,4,1
Hew the Entwood (Copy 1),48.08,0.0,0-4,4,1
Seismic Sense (Copy 2),48.08,0.0,0-4,4,1
Zuko's Conviction (Copy 2),48.08,0.0,0-4,4,1
Messenger Hawk (Copy 2),48.08,0.0,0-4,4,1
Beastbond Outcaster (Copy 1),48.07,45.68,37-44,81,6
"Titania, Rugged Rumbler (Copy 1)",48.06,47.77,310-339,649,40
Cruel Alliance (Copy 1),48.05,47.91,676-735,1411,84
Eastfarthing Farmer (Copy 1),48.05,46.79,73-83,156,15
Earth Kingdom Protectors (Copy 1),48.03,46.51,60-69,129,10
Detective's Satchel (Copy 1),48.03,40.74,11-16,27,3
Ran and Shaw (Copy 1),48.0,45.33,34-41,75,7
Stagecoach Security (Copy 1),48.0,46.67,70-80,150,12
Trusty Boomerang (Copy 1),48.0,40.0,10-15,25,4
Action News Crew (Copy 1),48.0,46.4,58-67,125,14
"Whiplash, Vengeful Engineer (Copy 2)",48.0,46.0,46-54,100,7
A.I.M. Synthoids (Copy 3),48.0,44.0,22-28,50,7
Take for a Ride (Copy 1),48.0,44.0,22-28,50,4
Airbending Lesson (Copy 1),47.99,47.09,105-118,223,19
Surveillance Room (Copy 2),47.99,47.54,213-235,448,32
The Lion-Turtle (Copy 1),47.98,45.92,45-53,98,9
Sterling Keykeeper (Copy 1),47.98,47.23,128-143,271,22
Buried in the Garden (Copy 1),47.98,45.92,45-53,98,6
Arwen's Gift (Copy 1),47.98,46.34,57-66,123,11
"Sokka, Tenacious Tactician (Copy 1)",47.97,43.75,21-27,48,6
Wojek Investigator (MKM) 36† (Copy 1),47.97,39.13,9-14,23,2
HYDRA Troopers (Copy 4),47.97,39.13,9-14,23,2
"Ant-Man, Colony Commander (Copy 1)",47.95,47.68,359-394,753,44
Mister Negative (Copy 1),47.95,43.48,20-26,46,3
"Kang, Temporal Tyrant (Copy 1)",47.94,47.7,415-455,870,55
"Viv Vision, Teen Synthezoid (Copy 1)",47.94,47.64,323-355,678,42
Hero in Training (Copy 1),47.93,47.8,760-830,1590,99
"White Tiger, Ava Ayala (Copy 2)",47.93,46.48,66-76,142,10
"Casey Jones, Jury-Rig Justiciar (Copy 1)",47.93,44.93,31-38,69,7
Kraven's Last Hunt (Copy 1),47.93,44.93,31-38,69,6
Symbiote Spider-Man (Copy 1),47.93,44.93,31-38,69,6
Doc Ock's Henchmen (Copy 2),47.92,43.18,19-25,44,3
Cosmic Cube (Copy 1),47.92,46.95,100-113,213,15
Drover Grizzly (Copy 1),47.92,46.67,77-88,165,17
Wakandan Drone Flock (Copy 2),47.9,47.37,189-210,399,30
"Scorpion, Seething Striker (Copy 1)",47.9,46.38,64-74,138,11
"Taskmaster, Mercenary Mimic (Copy 1)",47.89,47.44,222-246,468,30
One Last Job (Copy 1),47.89,42.86,18-24,42,4
Northampton Farm (Copy 1),47.89,42.86,18-24,42,4
Rocket-Powered Goblin Glider (Copy 1),47.89,42.86,18-24,42,4
Steer Clear (Copy 1),47.88,46.86,97-110,207,14
Slickshot Lockpicker (Copy 1),47.88,44.62,29-36,65,7
"Hercules, Prince of Power (Copy 2)",47.88,44.62,29-36,65,6
"Moonstone, Harsh Mistress (Copy 1)",47.87,47.55,310-342,652,41
Spider-Man No More (Copy 2),47.86,42.5,17-23,40,4
Phoenix Fleet Airship (Copy 1),47.86,35.29,6-11,17,2
"Araña, Heart of the Spider (Copy 1)",47.86,35.29,6-11,17,3
Suburban Sanctuary (Copy 2),47.86,35.29,6-11,17,2
Roxxon Brutes (Copy 4),47.86,35.29,6-11,17,1
Ba Sing Se (Copy 1),47.86,42.5,17-23,40,3
Escape Tunnel (Copy 2),47.83,42.11,16-22,38,7
Snakeskin Veil (Copy 1),47.83,45.24,38-46,84,9
Multiversal Incursion (Copy 1),47.83,46.73,93-106,199,14
"Katara, Bending Prodigy (Copy 1)",47.83,45.24,38-46,84,8
Get a Leg Up (Copy 1),47.83,42.11,16-22,38,4
Pym Particles (Copy 2),47.83,45.24,38-46,84,10
Wakandan Drone Flock (Copy 4),47.83,33.33,5-10,15,2
Mary Jane Watson (Copy 1),47.83,42.11,16-22,38,4
"Hellcat, Undying Vigilante (Copy 2)",47.83,44.26,27-34,61,5
Selfless Police Captain (Copy 2),47.83,33.33,5-10,15,3
Taxi Driver (Copy 2),47.83,33.33,5-10,15,2
Giant Growth (Copy 2),47.8,47.38,244-271,515,36
Dependable Quinjet (Copy 1),47.8,47.63,634-697,1331,87
"Jessica Jones, Private Eye (Copy 2)",47.8,44.07,26-33,59,6
Madame Hydra (Copy 2),47.79,46.51,80-92,172,12
Pippin's Bravery (Copy 1),47.78,46.92,122-138,260,19
Stark Industries (Copy 1),47.77,47.55,495-546,1041,63
Reasonable Doubt (Copy 1),47.77,46.26,68-79,147,13
Knowledge Seeker (Copy 1),47.77,43.86,25-32,57,7
Hour of Defeat (Copy 3),47.77,43.86,25-32,57,4
"The Mighty Thor, Jane Foster (Copy 1)",47.76,47.11,163-183,346,23
Outrageous Robbery (Copy 1),47.76,41.18,14-20,34,3
Shower of Arrows (Copy 1),47.76,46.21,67-78,145,12
"Suki, Courageous Rescuer (Copy 1)",47.76,41.18,14-20,34,3
Ghostly Prison (Copy 1),47.76,41.18,14-20,34,2
"Armaggon, Future Shark (Copy 1)",47.76,41.18,14-20,34,4
Captain America's Shield (Copy 2),47.75,27.27,3-8,11,1
Retro-Mutation (Copy 1),47.75,45.9,56-66,122,13
"Wylie Duke, Atiin Hero (Copy 1)",47.75,44.87,35-43,78,7
"Kang, Temporal Tyrant (Copy 3)",47.75,27.27,3-8,11,1
Spectacular Tactics (Copy 2),47.75,27.27,3-8,11,3
Breaking of the Fellowship (Copy 2),47.75,27.27,3-8,11,2
Atlantean Cavalry (Copy 4),47.75,27.27,3-8,11,1
Outlaw Stitcher (Copy 2),47.75,27.27,3-8,11,1
Rush of Dread (Copy 1),47.75,27.27,3-8,11,1
Cactarantula (Copy 2),47.75,27.27,3-8,11,1
Mines of Moria (Copy 1),47.75,27.27,3-8,11,2
"Red Guardian, Super-Soldier (Copy 1)",47.74,47.44,352-390,742,46
"Jeong Jeong, the Deserter (Copy 1)",47.73,40.62,13-19,32,4
Trick Shot (Copy 1),47.71,46.8,117-133,250,24
Curious Farm Animals (Copy 2),47.71,22.22,2-7,9,2
Riku of Many Paths (Copy 1),47.71,43.4,23-30,53,4
"Beetle, Legacy Criminal (Copy 2)",47.71,22.22,2-7,9,1
Unscrupulous Agent (Copy 2),47.71,22.22,2-7,9,1
Clandestine Meddler (Copy 2),47.71,22.22,2-7,9,1
Rubblebelt Maverick (Copy 2),47.71,22.22,2-7,9,1
"Elrond, Master of Healing (Copy 1)",47.71,22.22,2-7,9,1
"Beast, Erudite Aerialist (Copy 1)",47.7,47.38,334-371,705,43
Dark Fortress (Copy 2),47.7,44.59,33-41,74,7
Bristlepack Sentry (Copy 1),47.7,46.45,85-98,183,15
Hour of Defeat (Copy 1),47.69,47.51,620-685,1305,79
Smite the Deathless (Copy 1),47.69,46.67,105-120,225,18
"Vadmir, New Blood (Copy 1)",47.69,40.0,12-18,30,2
"Elektra, Daughter of the Hand (Copy 1)",47.68,47.2,228-255,483,28
Ultron Drone (Copy 3),47.68,43.14,22-29,51,4
Jailbreak Scheme (Copy 1),47.67,46.2,73-85,158,13
Doc Ock's Henchmen (Copy 1),47.67,46.72,114-130,244,19
Demand Answers (Copy 1),47.67,44.44,32-40,72,7
Dog Walker (Copy 1),47.66,46.77,123-140,263,20
Restorative Technique (Copy 1),47.66,47.51,724-800,1524,93
Slime Against Humanity (Copy 2),47.66,14.29,1-6,7,1
Topiary Panther (Copy 2),47.66,14.29,1-6,7,1
Insidious Roots (Copy 2),47.66,14.29,1-6,7,1
Undercover Crocodelf (Copy 2),47.66,14.29,1-6,7,1
Magnifying Glass (Copy 2),47.66,14.29,1-6,7,1
Sauron's Ransom (Copy 1),47.66,14.29,1-6,7,1
Phial of Galadriel (Copy 1),47.66,14.29,1-6,7,2
Sterling Hound (Copy 1),47.66,46.61,103-118,221,15
East-Mark Cavalier (Copy 2),47.66,14.29,1-6,7,1
HULK SMASH! (Copy 4),47.66,14.29,1-6,7,2
"Invisible Woman, Sue Storm (Copy 3)",47.66,14.29,1-6,7,1
Bold Biochemist (Copy 4),47.66,14.29,1-6,7,1
Featherbrained Filcher (Copy 2),47.66,14.29,1-6,7,1
"Shredder, Unrelenting (Copy 2)",47.66,14.29,1-6,7,1
Ninja of the Hand (Copy 4),47.66,14.29,1-6,7,1
Dimension X (Copy 1),47.65,46.33,82-95,177,20
Spider-Punk (Copy 1),47.65,42.86,21-28,49,5
Abrupt Decay (Copy 1),47.65,44.29,31-39,70,5
Prickly Pair (Copy 1),47.64,46.43,91-105,196,15
"Speedball, New Warrior (Copy 2)",47.64,45.05,41-50,91,9
Olog-hai Crusher (Copy 1),47.64,45.86,61-72,133,10
Wandering Musicians (Copy 1),47.64,46.29,81-94,175,19
Case of the Burning Masks (Copy 1),47.64,45.05,41-50,91,7
Spell Snare (PLST) DIS-33 (Copy 1),47.62,0.0,0-5,5,1
Haazda Vigilante (Copy 2),47.62,0.0,0-5,5,1
"Grim Reaper, Lethal Legionnaire (Copy 1)",47.62,47.3,341-380,721,44
Gather the White Lotus (Copy 1),47.62,44.12,30-38,68,5
Pain 101 (Copy 1),47.62,46.39,90-104,194,19
Kylox's Voltstrider (Copy 1),47.62,42.55,20-27,47,3
Dúnedain Rangers (Copy 1),47.62,42.55,20-27,47,5
Earth Kingdom Soldier (Copy 1),47.62,45.45,50-60,110,9
"Gothmog, Morgul Lieutenant (Copy 1)",47.62,45.8,60-71,131,13
Fog on the Barrow-Downs (Copy 2),47.62,38.46,10-16,26,2
Unliving Legionnaire (Copy 4),47.62,0.0,0-5,5,1
South Wind Avatar (Copy 1),47.62,0.0,0-5,5,1
Knowledge Seeker (Copy 2),47.62,0.0,0-5,5,1
"Boromir, Warden of the Tower (Copy 2)",47.62,0.0,0-5,5,1
Isolation at Orthanc (Copy 3),47.62,0.0,0-5,5,1
Sun Warriors (Copy 1),47.62,38.46,10-16,26,3
Claim Jumper (Copy 1),47.62,0.0,0-5,5,1
Watery Grasp (Copy 2),47.62,0.0,0-5,5,1
Rowdy Snowballers (Copy 3),47.62,0.0,0-5,5,1
Rumble Arena (Copy 2),47.62,0.0,0-5,5,1
Harrier Strix (Copy 2),47.62,0.0,0-5,5,1
"Rhino, Barreling Brute (Copy 2)",47.62,0.0,0-5,5,1
"General Traag, Heart of Stone (Copy 2)",47.62,0.0,0-5,5,1
Raft Security Officer (Copy 2),47.59,47.1,227-255,482,37
"Raphael, Most Attitude (Copy 1)",47.59,43.94,29-37,66,8
Strength of Will (Copy 1),47.59,43.94,29-37,66,8
Agents of S.H.I.E.L.D. (Copy 1),47.58,47.42,707-784,1491,97
Savage Land Dinosaur (Copy 1),47.58,47.43,746-827,1573,99
"Doc Ock, Sinister Scientist (Copy 1)",47.58,46.61,117-134,251,17
Compassionate Healer (Copy 1),47.58,46.52,107-123,230,19
"Appa, Steadfast Guardian (Copy 1)",47.58,37.5,9-15,24,3
East Wind Avatar (Copy 1),47.58,46.15,78-91,169,20
"Elrond, Lord of Rivendell (Copy 1)",47.58,37.5,9-15,24,3
Hire a Crew (Copy 3),47.58,37.5,9-15,24,3
"U.S.Agent, John Walker (Copy 2)",47.57,45.28,48-58,106,8
"Echo, Perceptive Prodigy (Copy 1)",47.56,47.22,340-380,720,43
"Okoye, Dora Milaje Leader (Copy 1)",47.56,47.16,291-326,617,41
Avengers Tower (Copy 1),47.55,47.27,407-454,861,51
HULK SMASH! (Copy 2),47.55,46.88,173-196,369,28
Blazing Crescendo (Copy 1),47.54,47.39,763-847,1610,95
"Cloak and Dagger, Entwined (Copy 1)",47.54,47.01,220-248,468,30
Living Conundrum (Copy 1),47.54,36.36,8-14,22,2
Giant-Sized Flying Ant (Copy 1),47.53,47.35,652-725,1377,87
"Wraith, Vicious Vigilante (Copy 1)",47.53,46.01,75-88,163,12
"Lady Octopus, Inspired Inventor (Copy 1)",47.52,41.46,17-24,41,4
Another Round (Copy 1),47.52,41.46,17-24,41,3
Corrupted Conviction (Copy 1),47.51,46.62,131-150,281,21
Iron Man Armor (Copy 1),47.51,45.96,74-87,161,10
Requisition Raid (Copy 1),47.5,43.33,26-34,60,5
Bombadil's Song (Copy 1),47.49,45.91,73-86,159,15
"Fortune, Loyal Steed (Copy 1)",47.48,41.03,16-23,39,3
"Long Feng, Grand Secretariat (Copy 1)",47.48,45.65,63-75,138,12
Taxi Driver (Copy 1),47.47,46.48,119-137,256,18
Photon Blast Barrage (Copy 2),47.47,44.9,44-54,98,8
Path to Redemption (Copy 1),47.46,46.38,109-126,235,20
Outlaw Medic (Copy 1),47.46,46.02,81-95,176,15
Gold Pan (Copy 2),47.46,33.33,6-12,18,2
"Malcolm, the Eyes (Copy 1)",47.46,33.33,6-12,18,2
Callous Inspector (Copy 1),47.45,45.81,71-84,155,14
Raft Security Officer (Copy 1),47.44,47.28,738-823,1561,92
Stegron the Dinosaur Man (Copy 2),47.44,42.86,24-32,56,7
Deadly Precision (Copy 1),47.41,45.88,78-92,170,16
Aftermath Analyst (Copy 1),47.41,40.0,14-21,35,2
Volcanic Villain (Copy 4),47.41,31.25,5-11,16,1
Cheering Crowd (Copy 1),47.41,40.0,14-21,35,4
Cirith Ungol Patrol (Copy 2),47.41,31.25,5-11,16,2
Oscorp Research Team (Copy 2),47.41,31.25,5-11,16,3
Gran-Gran (Copy 1),47.41,40.0,14-21,35,5
Super Suit (Copy 1),47.4,47.22,670-749,1419,88
"Swarm, Being of Bees (Copy 1)",47.4,46.48,132-152,284,27
"Erkenbrand, Lord of Westfold (Copy 1)",47.4,42.59,23-31,54,5
Case of the Ransacked Lab (Copy 1),47.4,42.59,23-31,54,4
Hardbristle Bandit (Copy 1),47.39,45.38,59-71,130,11
Riftburst Hellion (Copy 1),47.39,45.38,59-71,130,13
Manhole Missile (Copy 1),47.39,45.38,59-71,130,15
Chance-Met Elves (Copy 1),47.39,45.64,68-81,149,13
"Bullseye, Death Dealer (Copy 2)",47.37,43.66,31-40,71,5
Map the Frontier (Copy 1),47.37,43.66,31-40,71,8
Homicide Investigator (Copy 1),47.37,39.39,13-20,33,2
"Glorfindel, Dauntless Rescuer (Copy 1)",47.37,39.39,13-20,33,4
Supportive Parents (Copy 1),47.37,42.31,22-30,52,6
"Mikey & Leo, Chaos & Order (Copy 1)",47.37,28.57,4-10,14,2
Surveillance Room (Copy 4),47.37,28.57,4-10,14,1
Loxodon Eavesdropper (Copy 2),47.37,28.57,4-10,14,1
Projektor Inspector (Copy 3),47.37,28.57,4-10,14,2
TCRI Building (Copy 1),47.35,45.24,57-69,126,15
"Mister Hyde, Monster Within (Copy 1)",47.34,46.98,350-395,745,46
Back for More (Copy 1),47.34,44.32,39-49,88,8
Thor Odinson (Copy 1),47.33,46.91,304-344,648,44
Peter Parker's Camera (Copy 1),47.33,38.71,12-19,31,4
"Eddie Brock // Venom, Lethal Protector (Copy 1)",47.33,38.71,12-19,31,3
Avengers Hangar (Copy 1),47.32,46.99,382-431,813,52
Plains (Copy 3),47.32,46.45,144-166,310,35
Purple Dragon Punks (Copy 2),47.32,25.0,3-9,12,2
The Kingpin of Crime (Copy 3),47.32,25.0,3-9,12,1
Archive Trap (Copy 1),47.32,25.0,3-9,12,2
With Great Power . . . (Copy 2),47.32,25.0,3-9,12,1
Display of Power (Copy 1),47.32,25.0,3-9,12,1
"Speed, Young Avenger (Copy 1)",47.31,47.0,408-460,868,56
Spider Manifestation (Copy 2),47.29,37.93,11-18,29,6
Guy in the Chair (Copy 1),47.29,45.76,81-96,177,20
Mount Doom (Copy 1),47.29,37.93,11-18,29,2
Freestrider Commando (Copy 1),47.28,46.01,98-115,213,21
Fierce Retribution (Copy 1),47.28,44.05,37-47,84,7
Sinister Hideout (Copy 1),47.27,46.09,106-124,230,18
Rise of the Varmints (Copy 1),47.27,43.08,28-37,65,4
"Loki, God of Mischief (Copy 2)",47.27,20.0,2-8,10,1
"White Widow, Free Agent (Copy 1)",47.26,46.88,330-374,704,48
"Venom, Evil Unleashed (Copy 1)",47.26,46.29,131-152,283,26
"Suki, Kyoshi Warrior (Copy 1)",47.26,45.26,62-75,137,11
"Michelangelo, Game Master (Copy 1)",47.26,45.83,88-104,192,20
Utrom Scientists (Copy 1),47.25,46.12,113-132,245,21
Sanguine Savior (Copy 1),47.24,46.02,104-122,226,19
Secret Invasion (Copy 1),47.24,46.02,104-122,226,18
Flowering of the White Tree (Copy 1),47.24,37.04,10-17,27,2
Project Deathlok Soldier (Copy 1),47.23,47.02,607-684,1291,84
Vision of Love (Copy 1),47.23,47.06,735-827,1562,90
Hire a Crew (Copy 2),47.23,46.09,112-131,243,19
"Legolas, Counter of Kills (Copy 1)",47.22,44.83,52-64,116,10
Torpor Orb (Copy 1),47.22,12.5,1-7,8,2
Chance-Met Elves (Copy 2),47.22,12.5,1-7,8,1
"Sandman, Shifting Scoundrel (Copy 1)",47.22,12.5,1-7,8,1
Firebending Student (Copy 1),47.22,12.5,1-7,8,1
