Card Name,Bayes Smoothed Winrate %,Raw Post-Acquisition Winrate %,Combined Post-Acquisition Record,Total Post Matches Tracked,Pools Opened In
Archmage's Newt (Copy 1),51.2,56.0,14-11,25,3
Vibrant Cityscape (Copy 2),51.2,56.0,14-11,25,2
Flourishing Bloom-Kin (Copy 1),51.2,53.03,35-31,66,6
Harbinger of the Seas (Copy 1),51.2,56.0,14-11,25,1
"Wiccan, Rising Magician (Copy 3)",51.2,56.0,14-11,25,1
"Rakdos, Patron of Chaos (Copy 1)",51.2,56.0,14-11,25,2
Slip On the Ring (Copy 2),51.18,55.56,15-12,27,3
Paramecia Coloniex (Copy 1),51.18,52.86,37-33,70,6
"Anti-Venom, Horrifying Healer (Copy 1)",51.18,55.56,15-12,27,3
Dimension X (Copy 2),51.16,55.17,16-13,29,3
Shadow of the Goblin (Copy 1),51.16,55.17,16-13,29,3
Super Strength (Copy 2),51.15,51.54,151-142,293,21
"Oko, the Ringleader (Copy 1)",51.15,54.84,17-14,31,2
Quick Draw (Copy 2),51.15,54.84,17-14,31,2
Stark Industries (Copy 3),51.13,54.55,18-15,33,3
"Carnage, Crimson Chaos (Copy 1)",51.13,54.55,18-15,33,2
Bedevil (Copy 1),51.13,54.55,18-15,33,2
Prehistoric Pet (Copy 1),51.11,54.29,19-16,35,3
Jasmine Dragon Tea Shop (Copy 1),51.11,54.29,19-16,35,4
Gorbag of Minas Morgul (Copy 1),51.11,54.29,19-16,35,3
"Aang, the Last Airbender (Copy 1)",51.11,52.5,42-38,80,7
How to Start a Riot (Copy 1),51.1,51.97,66-61,127,12
Overzealous Muscle (Copy 1),51.1,51.61,112-105,217,14
High Noon (Copy 1),51.09,54.05,20-17,37,3
"Yue, the Moon Spirit (Copy 1)",51.09,54.05,20-17,37,3
Case of the Crimson Pulse (Copy 1),51.08,53.85,21-18,39,3
Boom Box (Copy 1),51.08,52.33,45-41,86,7
"Miriam, Herd Whisperer (Copy 1)",51.06,52.27,46-42,88,5
"Hulk, Gamma Goliath (Copy 1)",51.03,51.17,372-355,727,46
EPF Point Squad (Copy 1),51.03,51.75,74-69,143,14
"General Traag, Heart of Stone (Copy 1)",51.03,52.13,49-45,94,7
H.E.R.B.I.E. Scout Unit (Copy 2),51.02,51.23,249-237,486,37
Ant-Man's Army (Copy 2),51.02,51.19,300-286,586,38
